EmployeeNumber,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AttritionFlag,TenureBand,IncomeBand,JobSatisfactionLabel,WorkLifeBalanceLabel
1,52,No,Travel_Rarely,503,Human Resources,9,1,Life Sciences,3,Female,93,4,3,Human Resources,4.0,Single,7761.0,7334,2,No,11,3,1,1,28,4,3,6.0,4,0,5,0,4-6 yrs,6K-10K,Very High,Better
2,44,No,Travel_Rarely,301,Research & Development,24,3,Technical Degree,4,Female,61,2,2,Healthcare Representative,4.0,Divorced,8325.0,18480,5,No,15,3,3,1,20,2,1,11.0,5,2,4,0,10+ yrs,6K-10K,Very High,Bad
3,33,No,Travel_Frequently,845,Research & Development,15,3,Life Sciences,2,Female,85,2,1,Laboratory Technician,1.0,Married,3350.0,26378,4,No,17,3,4,0,10,3,4,3.0,0,1,1,0,2-3 yrs,3K-6K,Low,Best
4,38,Yes,Travel_Frequently,1071,Sales,3,2,Life Sciences,4,Female,44,2,4,Sales Representative,2.0,Married,8668.5,10094,6,No,21,3,4,0,16,4,3,6.0,0,1,3,1,4-6 yrs,6K-10K,Medium,Better
5,28,No,Travel_Rarely,1353,Research & Development,2,4,Life Sciences,1,Female,62,2,2,Manufacturing Director,4.0,Single,4787.0,13120,4,Yes,22,3,4,1,7,1,3,6.0,3,4,6,0,4-6 yrs,3K-6K,Very High,Better
6,46,No,Non-Travel,512,Research & Development,7,3,Marketing,4,Female,77,2,2,Manager,2.0,Single,7665.0,19931,2,No,14,3,4,1,26,3,2,6.0,3,5,3,0,4-6 yrs,6K-10K,Medium,Good
7,31,No,Travel_Rarely,1185,Research & Development,1,3,Life Sciences,3,Male,63,2,5,Healthcare Representative,1.0,Single,14073.0,13218,5,No,16,4,4,2,9,2,3,7.0,5,2,2,0,7-10 yrs,10K-15K,Low,Better
8,27,No,Travel_Frequently,1398,Sales,3,3,Marketing,3,Male,67,3,5,Sales Representative,4.0,Divorced,11185.0,8041,3,No,18,3,4,0,3,4,3,3.0,3,2,3,0,2-3 yrs,10K-15K,Very High,Better
9,42,No,Travel_Rarely,539,Research & Development,21,3,Human Resources,4,Female,39,2,4,Healthcare Representative,2.0,Divorced,10769.0,23386,1,No,11,3,4,0,20,3,3,10.0,2,3,6,0,7-10 yrs,10K-15K,Medium,Better
10,40,No,Travel_Rarely,522,Research & Development,9,3,Life Sciences,1,Male,30,3,3,Healthcare Representative,3.0,Married,7713.0,5210,4,No,20,3,3,0,18,1,3,4.0,4,2,1,0,4-6 yrs,6K-10K,High,Better
11,35,No,Travel_Rarely,1022,Sales,2,1,Medical,3,Male,57,3,2,Sales Representative,2.0,Married,7928.0,6038,1,No,11,3,2,0,15,2,2,5.0,5,1,1,0,4-6 yrs,6K-10K,Medium,Good
12,53,Yes,Travel_Frequently,788,Sales,3,3,Life Sciences,4,Female,71,2,5,Manager,4.0,Married,12871.0,15118,3,No,16,3,1,0,30,2,2,6.0,3,1,5,1,4-6 yrs,10K-15K,Very High,Good
13,33,Yes,Travel_Rarely,341,Research & Development,1,2,Medical,3,Male,98,3,2,Laboratory Technician,3.0,Single,5597.0,22774,0,Yes,11,3,3,1,12,3,2,8.0,0,4,4,1,7-10 yrs,3K-6K,High,Good
14,34,No,Travel_Rarely,435,Sales,2,1,Other,3,Female,81,3,2,Sales Representative,3.0,Single,7200.0,4023,4,Yes,14,3,2,1,13,1,3,11.0,4,1,5,0,10+ yrs,6K-10K,High,Better
15,23,Yes,Travel_Frequently,605,Research & Development,1,3,Life Sciences,4,Male,87,3,4,Healthcare Representative,3.0,Single,9743.0,12865,1,Yes,19,3,1,0,0,3,3,0.0,0,0,0,1,0-1 yrs,6K-10K,High,Better
16,35,No,Travel_Frequently,770,Research & Development,7,4,Medical,4,Female,98,1,2,Research Scientist,4.0,Married,5562.0,11834,1,No,17,3,3,0,11,3,3,7.0,5,2,7,0,7-10 yrs,3K-6K,Very High,Better
17,49,No,Travel_Rarely,970,Research & Development,7,3,Technical Degree,4,Male,84,1,5,Manufacturing Director,3.0,Divorced,9985.0,3485,2,No,12,4,2,1,27,1,3,9.0,3,3,4,0,7-10 yrs,6K-10K,High,Better
18,44,Yes,Travel_Frequently,1439,Research & Development,5,3,Life Sciences,4,Female,86,2,3,Research Director,1.0,Married,7928.0,14802,2,No,11,4,3,0,24,3,4,5.0,5,2,5,1,4-6 yrs,6K-10K,Low,Best
19,47,No,Non-Travel,1463,Human Resources,13,2,Life Sciences,3,Male,38,3,2,Human Resources,2.0,Married,4649.0,19300,3,Yes,13,3,4,1,24,1,2,7.0,5,0,2,0,7-10 yrs,3K-6K,Medium,Good
20,50,Yes,Travel_Rarely,195,Sales,29,3,Life Sciences,3,Male,31,3,4,Sales Executive,1.0,Married,12501.0,17818,3,Yes,11,3,2,0,29,3,3,9.0,5,2,5,1,7-10 yrs,10K-15K,Low,Better
21,35,No,Travel_Rarely,1100,Sales,2,3,Other,4,Female,32,2,4,Sales Representative,2.0,Single,10705.0,6076,6,No,14,3,3,0,13,6,1,5.0,5,1,5,0,4-6 yrs,10K-15K,Medium,Bad
22,36,Yes,Travel_Frequently,1409,Sales,2,3,Medical,1,Male,86,3,2,Sales Representative,3.0,Single,6975.0,24030,1,Yes,12,3,4,0,12,2,3,6.0,1,0,4,1,4-6 yrs,6K-10K,High,Better
23,30,No,Travel_Rarely,663,Research & Development,1,1,Marketing,4,Female,93,3,5,Research Director,1.0,Married,12743.0,26116,1,No,17,3,1,0,9,2,3,7.0,2,2,2,0,7-10 yrs,10K-15K,Low,Better
24,30,No,Travel_Rarely,1380,Research & Development,29,3,Medical,4,Male,44,3,2,Research Scientist,4.0,Married,5835.0,10900,3,No,11,3,3,0,10,5,3,7.0,3,2,4,0,7-10 yrs,3K-6K,Very High,Better
25,33,Yes,Travel_Rarely,274,Sales,7,3,Marketing,4,Male,44,3,3,Sales Representative,1.0,Divorced,8706.0,12023,2,Yes,17,3,3,1,9,2,1,8.0,7,0,3,1,7-10 yrs,6K-10K,Low,Bad
26,39,No,Travel_Frequently,199,Research & Development,3,3,Life Sciences,4,Female,79,3,5,Laboratory Technician,1.0,Married,13358.0,15726,2,No,24,3,3,1,18,5,3,6.0,2,2,3,0,4-6 yrs,10K-15K,Low,Better
